46.52,3.51,21.48,10.10,0.42,18.10,4.72,13.81,0.35,0.96
46.64,12.99,49.97,24.60,2.58,20.11,5.76,14.77,4.85,9.17
50.51,15.95,57.15,35.23,25.12,28.56,9.51,27.33,11.12,25.10
53.18,24.57,66.07,55.19,29.17,34.95,22.89,30.71,32.20,29.11
58.10,30.05,66.91,57.90,30.01,39.49,56.72,42.63,53.80,47.37
65.46,50.04,71.40,59.80,51.85,48.51,70.96,67.30,56.33,50.26
88.73,61.15,72.24,61.41,52.35,69.62,73.11,86.68,56.44,73.60
89.90,68.10,80.51,75.85,67.17,77.12,77.21,87.97,76.88,74.77
90.51,68.57,84.84,85.77,74.81,90.06,83.79,97.64,87.76,75.30
96.05,86.49,90.56,89.79,94.74,98.27,99.58,98.82,97.44,81.60
